Data Type,Missing#,Missing%,Dups,Cardinality,Count,Min,Max,Average,Standard Deviation,Range,25%,50%,75%,IQR,Entropy,Mode,Skewness,Kurtosis,Outliers,First Value,Second Value,Third Value
int64,0,0.0,0,5,361,1.0,5.0,3.8337950138504153,0.9068071288730969,4.0,3.0,4.0,4.0,1.0,1.7936278701668649,4,-0.8568506912203498,0.7701167682297845,7.0,5.0,4.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.853185595567867,0.8994115924763395,4.0,3.0,4.0,4.0,1.0,1.805460162981014,4,-0.7432292344326633,0.46009050815733543,5.0,5.0,3.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.8781163434903045,0.9077400495393514,4.0,3.0,4.0,4.0,1.0,1.8047992213533,4,-0.7875218293480077,0.48862865226088736,5.0,5.0,4.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.8088642659279777,0.9571538166602622,4.0,3.0,4.0,4.0,1.0,1.8582962614664644,4,-0.8516597712175865,0.5480368334066537,9.0,5.0,3.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.9916897506925206,0.7905256149692036,4.0,4.0,4.0,5.0,1.0,1.6519551052521124,4,-0.5958897589202582,0.31181136358091655,15.0,5.0,3.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.8781163434903045,0.7539472408478914,4.0,3.0,4.0,4.0,1.0,1.6009124728254094,4,-0.537835811435299,0.7112586566959029,2.0,3.0,4.0,5.0
int64,0,0.0,0,5,361,1.0,5.0,3.889196675900277,0.7408101178139959,4.0,4.0,4.0,4.0,0.0,1.576682661778752,4,-0.5210283801622376,0.5551589818571454,155.0,5.0,4.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.858725761772853,0.7145220116553744,4.0,3.0,4.0,4.0,1.0,1.5325951470086805,4,-0.47539480734266787,0.6348655942973997,1.0,3.0,3.0,5.0
int64,0,0.0,0,5,361,1.0,5.0,3.958448753462604,0.8034244956952483,4.0,3.0,4.0,5.0,2.0,1.6868184366883447,4,-0.3770678050467205,-0.23935624731815475,0.0,3.0,4.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.8947368421052633,0.9457507306074072,4.0,3.0,4.0,5.0,2.0,1.8371058541004301,4,-0.8978028858720563,0.696157344868793,0.0,5.0,2.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.3240997229916895,0.9676436620442298,4.0,3.0,3.0,4.0,1.0,1.9680527029464228,3,-0.1141692204592451,-0.2333633167975182,12.0,3.0,3.0,1.0
int64,0,0.0,0,5,361,1.0,5.0,3.8781163434903045,0.9378419659480266,4.0,3.0,4.0,5.0,2.0,1.835308836768126,4,-0.8721930796097135,0.6993556984193177,0.0,3.0,4.0,5.0
int64,0,0.0,0,5,361,1.0,5.0,3.6094182825484764,0.894315346196518,4.0,3.0,4.0,4.0,1.0,1.853297531533015,4,-0.36752056837250685,0.03039372529156026,6.0,5.0,4.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.5789473684210527,0.8819171036881969,4.0,3.0,4.0,4.0,1.0,1.8367878844195584,4,-0.3883573679893061,-0.026753713888100883,5.0,5.0,5.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.8698060941828256,0.8610085920764232,4.0,3.0,4.0,4.0,1.0,1.7464167689586902,4,-0.7175261194050988,0.4508949033998624,3.0,2.0,3.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,4.080332409972299,1.0064657085713398,4.0,3.0,4.0,5.0,2.0,1.8350726963775201,5,-0.9015790871692504,0.11994943191835894,0.0,5.0,2.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.6509695290858724,0.9487157410954441,4.0,3.0,4.0,4.0,1.0,1.9275261685542568,4,-0.33159620095628967,-0.36049191261341296,5.0,5.0,4.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.85595567867036,0.8375057135640243,4.0,3.0,4.0,4.0,1.0,1.7527626934120157,4,-0.32240202094367465,-0.3536506259876515,1.0,3.0,5.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.781163434903047,0.8194034268860566,4.0,3.0,4.0,4.0,1.0,1.7343108227273203,4,-0.24639499208494708,-0.30451159868397504,1.0,4.0,3.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.8282548476454292,0.7946903669459652,4.0,3.0,4.0,4.0,1.0,1.6890749390278175,4,-0.3508117644202043,-0.06391920371341353,1.0,5.0,4.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.814404432132964,0.8106326352384506,4.0,3.0,4.0,4.0,1.0,1.7106338633082974,4,-0.27778949886570536,-0.09252799238631537,2.0,3.0,5.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,4.027700831024931,0.7812436518670989,4.0,4.0,4.0,5.0,1.0,1.6331413071151901,4,-0.6107992100367905,0.542530746924911,10.0,3.0,4.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.9418282548476453,0.7260593665500098,4.0,4.0,4.0,4.0,0.0,1.51825813822608,4,-0.6992032014805367,1.0895573340018498,141.0,3.0,3.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.919667590027701,0.7277636217870992,4.0,4.0,4.0,4.0,0.0,1.5419940028020904,4,-0.6149666931882507,1.1063729728054814,150.0,3.0,4.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.966759002770083,0.7446123302192614,4.0,4.0,4.0,4.0,0.0,1.5702850832809998,4,-0.636540084480357,1.0006565971879389,157.0,5.0,3.0,4.0
int64,0,0.0,0,5,361,1.0,5.0,3.817174515235457,0.6189900331398724,4.0,3.0,4.0,4.0,1.0,1.3351709753045242,4,-0.2843205772144505,0.8281871655712529,1.0,3.0,2.0,3.0
int64,0,0.0,0,5,361,1.0,5.0,3.85595567867036,0.611259390500144,4.0,4.0,4.0,4.0,0.0,1.3142696353452599,4,-0.2787873362096641,0.9395568342328291,131.0,5.0,4.0,2.0
int64,0,0.0,0,5,361,1.0,5.0,3.9418282548476453,0.6493124426648901,4.0,4.0,4.0,4.0,0.0,1.4008503130139003,4,-0.31060768725253274,0.7698338965950859,139.0,3.0,3.0,2.0
object,0,0.0,0,10,361,,,,,,,,,,3.2871748665192513,Can Tho,,,,Can Tho,Ca Mau,Ca Mau
int64,0,0.0,0,2,361,0.0,1.0,0.3490304709141274,0.4773251880846593,1.0,0.0,0.0,1.0,1.0,0.9331992019459954,0,0.6360887241981954,-1.604310196038013,0.0,0,1,0
int64,0,0.0,0,8,361,1.0,8.0,3.0609418282548475,2.4600470183957377,7.0,1.0,2.0,4.0,3.0,2.4233236637171753,1,1.093377295158535,-0.28659551062272426,0.0,1,1,1
int64,0,0.0,0,4,361,1.0,4.0,1.9501385041551247,0.8483685210036842,3.0,1.0,2.0,2.0,1.0,1.718934361196409,2,0.5892244905031127,-0.31077714700104053,18.0,1,2,2
